,reaction,mean flux,sd
0,RBPCh,0.4776027077033063,0.08261886115831064
1,GAPDH_nadp_hi,0.8208570940455129,0.14101087629623477
2,ALDh_f,0.5882057355452814,0.24825343364308866
3,SBPase,0.162069104399017,0.09726678671721099
4,FBAh_f,0.5926792994732872,0.24653824081932837
5,BFBPh,0.16875067551276882,0.09859100937008243
6,TKT1h_f,0.5779236716024755,0.24493296425758912
7,TKT2h_f,0.5761043632341564,0.2450172884569004
8,TAh_f,0.4978690361907719,0.26964248817027436
9,RPEh_f,0.6532759858785911,0.20058137503572412
10,RPIh_f,0.5793689565880044,0.242385509296864
11,PRUK,0.4776233170169774,0.08261886127412801
12,RBCh,2.06093135763182e-05,6.819640741529999e-06
13,PGP,2.06093135763182e-05,6.819640741529999e-06
14,GCLDH,2.06093135763182e-05,6.819640741529999e-06
15,T_glx,1.0289410058010316e-05,7.111384937095054e-06
16,GOU,5.1599517591490835e-06,3.5985843422158603e-06
17,T_SER,5.1599517591490835e-06,3.5985843422158603e-06
18,PGIAh_f,0.5028314373545003,0.284829469817603
19,PGMTh_f,0.495718311215199,0.2838208218879098
20,GLPTHi,0.012404235233747184,0.010445976736664767
21,Biomass_starch,0.012404235233747184,0.010445976736664767
22,FBAc,4.880941260391112e-06,2.868194061132398e-06
23,FPPc,4.880941260391112e-06,2.868194061132398e-06
24,PGIc,2.4404706302326577e-06,1.434097030567447e-06
25,PGMTc,2.4404706302326577e-06,1.434097030567447e-06
26,UG1PUT,2.4404706302326577e-06,1.434097030567447e-06
27,UFAGT,2.4404706302326577e-06,1.434097030567447e-06
28,FGAM_c,0.0010067511848991385,0.00058254744590385
29,PYK,0.027384558563698556,0.023787017731849828
30,PPC,0.026760404518675805,0.023110458945977935
31,ALT_f,0.49645851100981375,0.26820877066174426
32,MDHc,0.00044425625876438034,0.00035159875205978554
33,ASPTc_f,0.5932957545276258,0.2467109940184534
34,GLUDHc_f,0.45794118125015065,0.264699308261843
35,EX_glu_L_c,0.0003298855800951086,0.00027514466600246054
36,EX_asp_L_c,0.026320485012306678,0.023095272885107286
37,T_T3P_f,0.5045426637434816,0.2899450683274038
38,T_TP_f,0.5062156534335953,0.2867970225998769
39,T_PEP_f,0.5346448988292295,0.26934256017100683
40,CO2t,0.5005534378479505,0.09059346847052627
41,CO2th_f,0.7364843541702102,0.1576461252247869
42,ENO_h_f,0.5571408498798371,0.2506438983034591
43,PYK_h,0.02758028810934696,0.024015286256821134
44,EX_pyr,0.02758028810934696,0.024015286256821134
45,EX_shikimate,0.027767054714446977,0.02407432299608954
46,EX_co2_e,0.5005534378495441,0.09059346847052764
47,EX_ala_L_c,0.05102976190092638,0.02981929143968918
48,EX_glx_c,1.0289410058010316e-05,7.111384937095054e-06
49,EX_ser_c,5.1599517591490835e-06,3.5985843422158603e-06
50,PDHm,0.0016705659513513887,0.00027325253907320744
51,CSm,0.0013414553583952443,0.0003054654285641611
52,ACONTm_f,0.4972061783220054,0.287456255061267
53,ICDHm,0.0010123447654386596,0.00045948518387283654
54,AKGDHm,0.0006824591853416902,0.0004419273395030912
55,SUCOASm_f,0.5037263202806735,0.28980254503657676
56,SUCDm_f,0.5120361805313166,0.2866436482447251
57,FUMm_f,0.5039737014732231,0.2874336487966601
58,MDHm,0.00045727959330112426,0.00035261704998325034
59,ASPTAm,0.1524790130663277,0.12666422529888374
60,AATm_f,0.4662806541813346,0.2662382993442025
61,ICLm,0.0003291105929621147,0.0002226828778924395
62,MALSm,0.0003291105929621147,0.0002226828778924395
63,MEm,0.00043914451920163913,0.00034699906959398207
64,PYKm,0.024876624769577766,0.0214904345262572
65,PYRtm_f,0.5260423803745577,0.266300192004629
66,MALtm_f,0.5046951091102968,0.2886432923585365
67,OAAtm_f,0.4258299987258343,0.2568019480013091
68,ASPtm_f,0.5785187680295408,0.25612131125444276
69,GLUtm_f,0.45968483411732874,0.2609628611338856
