Light;Alga;Labeling time (sec);ADPG-0;ADPG-1;ADPG-2;ADPG-3;ADPG-4;ADPG-5;ADPG-6;glut-0;glut-1;glut-2;glut-3;glut-4;glut-5;2PG-0;2PG-1;2PG-2;FBP-0;FBP-1;FBP-2;FBP-3;FBP-4;FBP-5;FBP-6;SBP-0;SBP-1;SBP-2;SBP-3;SBP-4;SBP-5;SBP-6;SBP-7;DHAP-0;DHAP-1;DHAP-2;DHAP-3;malate-0;malate-1;malate-2;malate-3;malate-4;asp-0;asp-1;asp-2;asp-3;asp-4;G6P-0;G6P-1;G6P-2;G6P-3;G6P-4;G6P-5;G6P-6;f6p-0;f6p-1;f6p-2;f6p-3;f6p-4;f6p-5;f6p-6;g1p-0;g1p-1;g1p-2;g1p-3;g1p-4;g1p-5;g1p-6;2-OG-0;2-OG-1;2-OG-2;2-OG-3;2-OG-4;2-OG-5;R5P-0;R5P-1;R5P-2;R5P-3;R5P-4;R5P-5;PP-0;PP-1;PP-2;PP-3;PP-4;PP-5;succ-0;succ-1;succ-2;succ-3;succ-4;RuBP-0;RuBP-1;RuBP-2;RuBP-3;RuBP-4;RuBP-5;UDPG-0;UDPG-1;UDPG-2;UDPG-3;UDPG-4;UDPG-5;UDPG-6;S7P-0;S7P-1;S7P-2;S7P-3;S7P-4;S7P-5;S7P-6;S7P-7;3PGA-0;3PGA-1;3PGA-2;3PGA-3;PEP-0;PEP-1;PEP-2;PEP-3;
100 uE;Chlamy;0;12.84;0.24;0.16;0.00;0.00;0.00;0.00;209.15;0.17;0.25;1.23;0.00;0.49;2.41;0.00;0.00;39.83;0.00;0.00;0.18;0.00;0.00;0.00;81.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.13;0.00;0.00;0.00;81.11;0.00;0.00;0.00;0.00;85.81;0.00;0.00;0.00;0.00;118.12;0.00;0.00;0.00;0.00;0.00;0.00;24.93;1.00;0.00;0.00;0.00;0.00;0.00;32.48;0.08;0.57;0.00;0.00;0.00;0.00;18.17;0.58;0.00;0.00;0.00;0.00;7.32;0.00;0.00;0.00;0.00;0.00;6.17;0.08;0.00;0.00;0.00;0.00;36.58;0.00;0.05;0.00;0.00;187.30;4.36;0.00;0.00;0.00;0.00;51.16;0.21;0.00;0.00;0.00;0.00;0.00;13.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4780520.00;0.00;0.00;0.00;152409.60;573.73;0.00;0.00;
100 uE;Chlamy;0;11.26;0.00;0.00;0.00;0.00;0.00;0.00;163.78;0.97;0.00;0.00;0.00;0.00;3.53;0.00;0.00;34.77;0.00;0.00;0.09;0.20;0.00;0.00;63.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.02;0.29;0.00;0.00;83.39;0.00;0.00;0.00;0.00;109.11;0.00;0.00;0.00;0.00;140.88;0.00;0.00;0.00;0.00;0.00;0.00;44.27;0.00;0.00;0.00;0.00;0.00;0.00;31.49;0.00;0.00;0.00;0.00;0.00;0.00;9.97;0.12;0.00;0.00;0.00;0.00;7.95;0.00;0.00;0.00;0.00;0.00;11.47;0.50;0.00;0.00;0.00;0.00;61.02;0.09;0.00;0.00;0.00;228.82;2.47;0.00;0.00;0.00;0.00;57.66;0.00;0.00;0.18;0.00;0.00;0.00;64.64;0.23;0.55;0.00;0.00;0.00;0.00;0.00;9158640.00;13560.56;0.00;0.00;825364.00;2487.70;0.00;0.00;
100 uE;Chlamy;0;7.21;0.00;0.00;0.00;0.00;0.00;0.00;233.20;1.92;0.52;0.36;0.00;0.23;3.02;0.00;0.00;32.37;0.00;0.29;0.30;0.00;0.00;0.00;68.48;0.21;0.08;0.00;0.00;0.00;0.00;0.00;21.27;0.00;0.00;0.00;90.07;0.00;0.00;0.00;0.00;134.85;0.00;0.00;0.00;0.00;106.63;0.00;0.00;0.00;0.00;0.00;0.00;18.51;0.61;0.00;0.00;0.00;0.00;0.00;31.13;0.00;0.00;0.00;0.00;0.00;0.00;17.82;0.00;0.00;0.00;0.00;0.00;2.39;0.07;0.00;0.00;0.00;0.00;3.26;0.00;0.00;0.00;0.00;0.00;41.66;0.00;0.00;0.00;0.00;190.52;4.87;0.00;0.00;0.00;0.00;53.94;0.34;0.00;0.00;0.00;0.00;0.00;11.05;0.03;0.01;0.00;0.00;0.00;0.00;0.00;3476488.00;7762.80;0.00;0.00;135812.40;0.00;0.00;0.00;
100 uE;Chlamy;5;6.23;0.15;0.07;0.00;0.00;0.00;0.00;139.70;2.12;0.07;0.41;0.40;1.32;2.90;0.09;0.02;23.99;10.69;5.04;0.00;0.08;0.00;0.20;38.78;9.13;9.36;0.00;0.00;0.00;0.00;0.00;19.99;1.16;0.89;0.00;59.66;1.06;0.00;0.00;0.10;89.12;6.79;0.00;0.00;0.00;56.11;4.32;10.78;0.00;0.01;0.00;0.00;10.32;1.98;5.11;0.00;0.00;0.00;0.00;22.67;4.49;0.75;0.00;0.02;0.00;0.00;16.63;0.15;0.00;0.00;0.00;0.00;3.10;0.11;0.15;0.00;0.00;0.00;4.55;1.01;0.36;0.00;0.00;0.00;40.65;0.00;0.60;0.00;0.00;176.49;61.23;7.18;4.01;2.41;1.00;37.53;0.57;0.00;0.00;0.00;0.00;0.00;6.26;1.47;1.51;0.00;0.00;0.00;0.00;0.00;2560220.00;1172564.00;8690.60;0.00;160141.60;35936.12;0.00;0.00;
100 uE;Chlamy;5;6.85;0.08;0.00;0.00;0.00;0.00;0.00;124.73;0.00;0.00;0.00;0.00;0.00;3.47;0.07;0.09;21.67;17.47;3.04;0.00;0.00;0.00;0.13;24.18;10.13;9.93;1.68;1.26;0.00;0.00;0.00;31.51;10.32;0.93;0.00;86.87;1.53;0.00;0.00;0.00;116.02;11.21;0.00;0.00;0.00;107.15;7.67;2.58;0.00;0.00;0.00;0.00;28.35;4.47;5.72;0.00;0.00;0.00;0.00;25.98;4.64;1.15;0.00;0.00;0.00;0.00;13.59;0.27;0.09;0.03;0.00;0.00;8.39;1.47;0.00;0.00;1.13;0.00;8.37;2.74;0.55;0.00;0.00;0.00;100.81;0.99;0.88;0.00;0.00;180.50;44.10;7.92;0.48;0.55;0.29;50.61;0.53;0.00;0.00;0.40;0.00;0.00;33.10;11.76;2.44;0.38;0.00;0.00;0.00;0.00;7942760.00;2575944.00;159430.00;0.00;619912.00;151728.80;0.00;0.00;
100 uE;Chlamy;5;4.60;0.00;0.05;0.00;0.00;0.00;0.00;108.12;4.50;0.00;0.66;0.00;0.31;1.07;0.08;0.00;12.74;7.60;1.49;0.81;0.38;0.00;0.00;14.93;12.59;1.92;0.59;0.00;0.00;0.00;0.00;14.19;3.95;1.09;0.00;43.95;1.35;0.00;0.00;0.00;60.68;5.58;0.00;0.00;0.00;45.47;4.64;13.29;0.00;0.00;0.00;0.00;8.44;3.15;2.26;0.27;0.00;0.00;0.00;20.11;4.41;1.98;0.00;0.00;0.00;0.00;14.28;0.32;0.00;0.00;0.00;0.00;0.88;0.00;0.00;0.00;0.00;0.00;2.17;0.00;1.15;0.00;0.00;0.00;54.68;0.00;0.37;0.00;0.00;99.15;35.32;5.17;1.61;1.52;0.00;28.98;0.56;0.00;0.00;0.00;0.00;0.00;2.41;2.03;0.31;0.09;0.00;0.00;0.00;0.00;1842148.00;611760.00;10661.64;0.00;191817.20;25066.88;0.00;0.00;
100 uE;Chlamy;10;10.66;0.60;0.78;0.23;0.05;0.00;0.00;222.39;7.86;0.00;0.00;0.00;0.00;2.48;0.30;0.00;31.09;28.99;14.14;1.72;0.17;0.00;0.22;47.02;45.66;17.30;8.55;0.61;1.99;0.50;0.00;27.91;14.11;2.09;0.78;113.28;7.71;0.32;0.22;0.00;142.15;8.04;1.11;0.00;0.58;154.96;31.35;25.18;0.00;0.25;0.16;0.00;45.55;17.29;5.52;1.90;0.48;0.00;0.00;27.16;9.65;3.10;0.22;0.00;0.00;0.00;12.29;0.00;0.00;0.00;0.00;0.00;7.10;2.04;0.78;0.09;0.00;0.00;7.00;6.35;0.69;0.00;0.00;0.00;52.74;0.26;0.00;0.00;0.00;283.50;162.53;28.19;4.73;1.31;1.50;66.80;2.91;0.00;0.00;0.00;0.00;0.00;45.18;29.12;13.45;3.19;1.01;0.00;0.00;0.00;11647400.00;6100160.00;459184.00;93717.60;1142168.00;489004.00;0.00;4623.96;
100 uE;Chlamy;10;9.86;1.14;1.12;0.00;0.00;0.00;0.00;225.43;5.58;0.00;0.86;0.00;0.32;2.71;0.04;0.13;25.87;29.69;10.10;2.40;0.24;0.34;0.22;27.56;26.31;21.37;2.27;3.10;0.00;0.00;0.00;15.16;8.45;3.75;0.00;98.08;5.57;0.19;0.00;0.09;110.53;10.70;0.00;0.00;0.00;76.52;15.47;16.98;0.00;0.01;0.00;0.00;12.74;8.35;15.79;0.00;0.00;0.00;0.00;19.20;7.23;2.90;0.31;0.00;0.00;0.00;36.63;0.00;0.25;0.00;0.00;0.00;2.26;1.38;0.25;0.00;0.00;0.00;1.71;2.14;1.08;0.00;0.00;0.00;248.03;0.00;0.00;0.00;0.00;164.32;111.62;19.88;7.31;1.27;2.71;50.29;0.51;0.00;0.28;0.00;0.00;0.00;4.45;4.24;3.45;0.37;0.50;0.00;0.00;0.00;3788816.00;2120516.00;131968.40;0.00;233651.60;57105.60;0.00;0.00;
100 uE;Chlamy;10;7.04;1.23;0.00;0.05;0.00;0.00;0.00;895.02;8.37;0.00;0.52;0.00;0.23;2.30;0.66;0.00;26.32;17.53;8.00;1.28;0.00;0.35;0.00;19.89;24.34;17.52;6.46;0.00;0.00;0.00;0.00;17.07;9.72;1.73;0.00;73.54;4.57;0.16;0.00;0.00;642.09;18.73;0.00;3.04;0.00;84.04;18.64;9.72;0.17;0.00;0.00;0.00;18.99;3.87;5.91;0.00;0.00;0.00;0.00;21.44;4.28;0.96;0.33;0.00;0.00;0.00;20.92;0.21;0.05;0.00;0.00;0.00;5.57;2.22;0.32;0.00;0.00;0.00;3.58;0.72;0.00;0.00;0.00;0.00;66.46;0.35;0.00;0.00;0.00;167.49;88.85;11.06;0.96;0.00;0.00;58.40;0.21;0.00;0.00;0.00;0.00;0.00;3.21;3.93;2.83;1.04;0.00;0.00;0.00;0.00;3207460.00;1640424.00;51383.20;8578.28;319002.40;129705.60;0.00;0.00;
100 uE;Chlamy;20;6.54;3.75;1.87;0.81;0.10;0.00;0.00;248.26;10.67;0.00;0.00;0.00;0.00;3.34;0.81;0.15;15.06;12.22;10.43;2.78;1.89;0.29;0.00;13.93;13.27;14.45;6.15;6.81;1.54;0.60;0.00;25.92;21.68;4.56;0.53;148.63;13.24;4.35;0.00;0.26;157.39;17.34;5.68;5.44;0.00;126.97;47.74;65.27;6.74;1.16;0.12;0.30;35.25;26.19;28.23;2.42;2.11;0.07;0.00;26.72;13.33;10.38;2.63;0.41;0.00;0.05;13.77;0.35;0.14;0.09;0.00;0.00;3.39;4.04;2.67;0.78;1.43;0.00;3.91;8.24;2.98;0.76;0.00;0.00;85.69;0.00;0.00;0.00;0.00;120.12;120.19;53.32;25.39;5.35;2.69;70.05;1.52;0.00;0.01;0.00;0.00;0.00;22.70;30.78;28.48;14.47;3.23;0.06;0.01;0.00;7038040.00;6333720.00;1165112.00;240233.60;719244.00;577952.00;25096.48;1046.33;
